2024-10-23 15:11:22.8416|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.8416|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.8567|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.8567|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.8719|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.8719|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.8949|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.9047|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.9047|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.9219|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.9219|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.9381|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.9381|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.9538|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.9538|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.9691|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.9691|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.9871|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:23.0047|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:23'. |url: |action: |ChefKitchenAPI.Program.<Main
